Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (deg),Fine Knock Learn (deg),Fuel Pressure (psi),Gear Position (gear),Ignition Timing (deg),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),Oil Temp (F),RPM (RPM),Target Boost Final Rel (psi),Throttle Pos (%),Vehicle Speed (mph),Roughness Cyl 1 (count),AP Info:[AP3-SUB-006 v0.0.0-1][2024 USDM WRX MT SAMPLE DATA][Reflash: Sample Map Wastegate Vacation - 18psi 93oct.ptm]
6.90,0.40,-1.50,1.50,10.90,100.0,49.76,1.634,10.88,190.0,1.00,0.00,0.00,2889,3,8.3,24.7,82.0,102.0,202.0,4266.7,18.00,98.0,55.3,0,
6.95,0.40,-1.50,1.50,10.90,100.0,49.75,1.642,10.88,190.0,1.00,0.00,0.00,2891,3,8.4,24.9,82.0,102.0,202.0,4300.0,18.00,98.0,55.8,0,
7.00,0.40,-1.50,1.50,10.89,100.0,49.74,1.650,10.88,190.0,1.00,0.00,0.00,2893,3,8.5,25.2,82.0,102.0,202.0,4333.3,18.00,98.0,56.3,0,
7.05,0.40,-1.50,1.50,10.88,100.0,49.73,1.659,10.88,190.0,1.00,0.00,0.00,2895,3,8.6,25.4,82.0,102.0,202.0,4366.7,18.00,98.0,56.8,0,
7.10,0.40,-1.50,1.50,10.88,100.0,49.72,1.668,10.88,190.0,1.00,0.00,0.00,2897,3,8.7,25.6,82.0,102.0,202.0,4400.0,18.00,98.0,57.3,0,
7.15,0.40,-1.50,1.50,10.88,100.0,49.72,1.678,10.88,190.0,1.00,0.00,0.00,2899,3,8.8,25.9,82.0,102.0,202.0,4433.3,18.00,98.0,57.8,0,
7.20,0.40,-1.50,1.50,10.88,100.0,49.72,1.688,10.88,190.0,1.00,0.00,0.00,2901,3,8.8,26.1,82.0,102.0,202.0,4466.7,18.00,98.0,58.2,0,
7.25,0.40,-1.50,1.50,10.88,100.0,49.72,1.699,10.88,190.0,1.00,0.00,0.00,2903,3,8.9,26.4,82.0,102.0,202.0,4500.0,18.00,98.0,58.7,0,
7.30,0.40,-1.50,1.50,10.88,100.0,49.73,1.711,10.88,190.0,1.00,0.00,0.00,2905,3,9.0,26.6,82.0,102.0,202.0,4533.3,18.00,98.0,59.2,0,
7.35,0.40,-1.50,1.50,10.89,100.0,49.74,1.722,10.88,190.0,1.00,0.00,0.00,2907,3,9.1,26.8,82.0,102.0,202.0,4566.7,18.00,98.0,59.7,0,
7.40,0.40,-1.50,1.50,10.90,100.0,49.75,1.734,10.88,190.0,1.00,0.00,0.00,2909,3,9.2,27.1,82.0,102.0,202.0,4600.0,18.00,98.0,60.2,0,
7.45,0.40,-1.50,1.50,10.90,100.0,49.76,1.747,10.88,190.0,1.00,0.00,0.00,2911,3,9.3,27.3,82.0,102.0,202.0,4633.3,18.00,98.0,60.7,0,
7.50,0.40,-1.50,1.50,10.91,100.0,49.77,1.759,10.88,190.0,1.00,0.00,0.00,2913,3,9.4,27.6,82.0,102.0,202.0,4666.7,18.00,98.0,61.2,0,
7.55,0.40,-1.50,1.50,10.92,100.0,49.79,1.772,10.88,190.0,1.00,0.00,0.00,2915,3,9.5,27.8,82.0,102.0,202.0,4700.0,18.00,98.0,61.6,0,
7.60,0.40,-1.50,1.50,10.92,100.0,49.81,1.784,10.88,190.0,1.00,0.00,0.00,2917,3,9.6,28.1,82.0,102.0,202.0,4733.3,18.00,98.0,62.1,0,
7.65,0.40,-1.50,1.50,10.93,100.0,49.83,1.797,10.89,190.0,1.00,0.00,0.00,2919,3,9.7,28.3,82.0,102.0,202.0,4766.7,18.00,98.0,62.6,0,
7.70,0.40,-1.50,1.50,10.94,100.0,49.85,1.809,10.89,190.0,1.00,0.00,0.00,2921,3,9.8,28.5,82.0,102.0,202.0,4800.0,18.00,98.0,63.1,0,
7.75,0.40,-1.50,1.50,10.94,100.0,49.87,1.821,10.89,190.0,1.00,0.00,0.00,2923,3,9.8,28.8,82.0,102.0,202.0,4833.3,18.00,98.0,63.6,0,
7.80,0.40,-1.50,1.50,10.95,100.0,49.90,1.833,10.89,190.0,1.00,0.00,0.00,2925,3,9.9,29.0,82.0,102.0,202.0,4866.7,18.00,98.0,64.1,0,
7.85,0.40,-1.50,1.50,10.95,100.0,49.92,1.844,10.89,190.0,1.00,0.00,0.00,2927,3,10.0,29.3,82.0,102.0,202.0,4900.0,18.00,98.0,64.5,0,
7.90,0.40,-1.50,1.50,10.95,100.0,49.95,1.856,10.89,190.0,1.00,0.00,0.00,2929,3,10.1,29.5,82.0,102.0,202.0,4933.3,18.00,98.0,65.0,0,
7.95,0.40,-1.50,1.50,10.96,100.0,49.97,1.866,10.89,190.0,1.00,0.00,0.00,2931,3,10.2,29.8,82.0,102.0,202.0,4966.7,18.00,98.0,65.5,0,
8.00,0.40,-1.50,1.50,10.95,100.0,50.00,1.877,10.90,190.0,1.00,0.00,0.00,2933,3,10.3,30.0,82.0,102.0,202.0,5000.0,18.00,98.0,66.0,0,
8.05,0.40,-1.50,1.50,10.95,100.0,50.03,1.886,10.90,190.0,1.00,0.00,0.00,2935,3,10.4,30.2,82.0,102.0,202.0,5033.3,18.00,98.0,66.5,0,
8.10,0.40,-1.50,1.50,10.95,100.0,50.05,1.896,10.90,190.0,1.00,0.00,0.00,2937,3,10.5,30.5,82.0,102.0,202.0,5066.7,18.00,98.0,67.0,0,
8.15,0.40,-1.50,1.50,10.95,100.0,50.08,1.904,10.90,190.0,1.00,0.00,0.00,2939,3,10.6,30.7,82.0,102.0,202.0,5100.0,18.00,98.0,67.5,0,
8.20,0.40,-1.50,1.50,10.94,100.0,50.10,1.912,10.90,190.0,1.00,0.00,0.00,2941,3,10.7,31.0,82.0,102.0,202.0,5133.3,18.00,98.0,67.9,0,
8.25,0.40,-1.50,1.50,10.94,100.0,50.13,1.920,10.91,190.0,1.00,0.00,0.00,2943,3,10.8,31.2,82.0,102.0,202.0,5166.7,18.00,98.0,68.4,0,
8.30,0.40,-1.50,1.50,10.94,100.0,50.15,1.926,10.91,190.0,1.00,0.00,0.00,2945,3,10.8,31.5,82.0,102.0,202.0,5200.0,18.00,98.0,68.9,0,
8.35,0.40,-1.50,1.50,10.93,100.0,50.17,1.932,10.91,190.0,1.00,0.00,0.00,2947,3,10.9,31.7,82.0,102.0,202.0,5233.3,18.00,98.0,69.4,0,
8.40,0.40,-1.50,1.50,10.93,100.0,50.19,1.938,10.91,190.0,1.00,0.00,0.00,2949,3,11.0,31.9,82.0,102.0,202.0,5266.7,18.00,98.0,69.9,0,
8.45,0.40,-1.50,1.50,10.93,100.0,50.21,1.942,10.92,190.0,1.00,0.00,0.00,2952,3,11.1,32.2,82.0,102.0,202.0,5300.0,18.00,98.0,70.4,0,
8.50,0.40,-1.50,1.50,10.93,100.0,50.23,1.947,10.92,190.0,1.00,0.00,0.00,2954,3,11.2,32.4,82.0,102.0,202.0,5333.3,18.00,98.0,70.8,0,
8.55,0.40,-1.50,1.50,10.93,100.0,50.24,1.950,10.92,190.0,1.00,0.00,0.00,2956,3,11.3,32.7,82.0,102.0,202.0,5366.7,18.00,98.0,71.3,0,
8.60,0.40,-1.50,1.50,10.93,100.0,50.25,1.953,10.93,190.0,1.00,0.00,0.00,2958,3,11.4,32.9,82.0,102.0,202.0,5400.0,18.00,98.0,71.8,0,
8.65,0.40,-1.50,1.50,10.94,100.0,50.26,1.956,10.93,190.0,1.00,0.00,0.00,2960,3,11.5,33.2,82.0,102.0,202.0,5433.3,18.00,98.0,72.3,0,
8.70,0.40,-1.50,1.50,10.94,100.0,50.27,1.958,10.93,190.0,1.00,0.00,0.00,2962,3,11.6,33.4,82.0,102.0,202.0,5466.7,18.00,98.0,72.8,0,
8.75,0.40,-1.50,1.50,10.95,100.0,50.28,1.960,10.94,190.0,1.00,0.00,0.00,2964,3,11.7,33.6,82.0,102.0,202.0,5500.0,18.00,98.0,73.3,0,
8.80,0.40,-1.50,1.50,10.96,100.0,50.28,1.962,10.94,190.0,1.00,0.00,0.00,2966,3,11.8,33.9,82.0,102.0,202.0,5533.3,18.00,98.0,73.8,0,
8.85,0.40,-1.50,1.50,10.97,100.0,50.28,1.963,10.94,190.0,1.00,0.00,0.00,2968,3,11.8,34.1,82.0,102.0,202.0,5566.7,18.00,98.0,74.2,0,
8.90,0.40,-1.50,1.50,10.98,100.0,50.28,1.964,10.95,190.0,1.00,0.00,0.00,2970,3,11.9,34.4,82.0,102.0,202.0,5600.0,18.00,98.0,74.7,0,
8.95,0.40,-1.50,1.50,10.99,100.0,50.27,1.965,10.95,190.0,1.00,0.00,0.00,2972,3,12.0,34.6,82.0,102.0,202.0,5633.3,18.00,98.0,75.2,0,
9.00,0.40,-1.50,1.50,11.00,100.0,50.26,1.966,10.95,190.0,1.00,0.00,0.00,2974,3,12.1,34.8,82.0,102.0,202.0,5666.7,18.00,98.0,75.7,0,
9.05,0.40,-1.50,1.50,11.01,100.0,50.25,1.966,10.96,190.0,1.00,0.00,0.00,2976,3,12.2,35.1,82.0,102.0,202.0,5700.0,18.00,98.0,76.2,0,
9.10,0.40,-1.50,1.50,11.02,100.0,50.24,1.967,10.96,190.0,1.00,0.00,0.00,2978,3,12.3,35.3,82.0,102.0,202.0,5733.3,18.00,98.0,76.7,0,
9.15,0.40,-1.50,1.50,11.03,100.0,50.23,1.969,10.96,190.0,1.00,0.00,0.00,2980,3,12.4,35.6,82.0,102.0,202.0,5766.7,18.00,98.0,77.2,0,
9.20,0.40,-1.50,1.50,11.04,100.0,50.21,1.970,10.97,190.0,1.00,0.00,0.00,2982,3,12.5,35.8,82.0,102.0,202.0,5800.0,18.00,98.0,77.6,0,
9.25,0.40,-1.50,1.50,11.04,100.0,50.19,1.971,10.97,190.0,1.00,0.00,0.00,2984,3,12.6,36.1,82.0,102.0,202.0,5833.3,18.00,98.0,78.1,0,
9.30,0.40,-1.50,1.50,11.05,100.0,50.17,1.973,10.97,190.0,1.00,0.00,0.00,2986,3,12.7,36.3,82.0,102.0,202.0,5866.7,18.00,98.0,78.6,0,
9.35,0.40,-1.50,1.50,11.05,100.0,50.15,1.976,10.98,190.0,1.00,0.00,0.00,2988,3,12.8,36.5,82.0,102.0,202.0,5900.0,18.00,98.0,79.1,0,
9.40,0.40,-1.50,1.50,11.05,100.0,50.13,1.978,10.98,190.0,1.00,0.00,0.00,2990,3,12.8,36.8,82.0,102.0,202.0,5933.3,18.00,98.0,79.6,0,
9.45,0.40,-1.50,1.50,11.06,100.0,50.10,1.982,10.98,190.0,1.00,0.00,0.00,2992,3,12.9,37.0,82.0,102.0,202.0,5966.7,18.00,98.0,80.1,0,
9.50,0.40,-1.50,1.50,11.06,100.0,50.08,1.985,10.99,190.0,1.00,0.00,0.00,2994,3,13.0,37.3,82.0,102.0,202.0,6000.0,18.00,98.0,80.5,0,
9.55,0.40,-1.50,1.50,11.05,100.0,50.05,1.990,10.99,190.0,1.00,0.00,0.00,2996,3,13.1,37.5,82.0,102.0,202.0,6033.3,18.00,98.0,81.0,0,
9.60,0.40,-1.50,1.50,11.05,100.0,50.03,1.995,11.00,190.0,1.00,0.00,0.00,2998,3,13.2,37.8,82.0,102.0,202.0,6066.7,18.00,98.0,81.5,0,
9.65,0.40,-1.50,1.50,11.05,100.0,50.00,2.000,11.00,190.0,1.00,0.00,0.00,3000,3,13.3,38.0,82.0,102.0,202.0,6100.0,18.00,98.0,82.0,0,
9.80,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4200.0,0.00,2.0,70.0,0,
9.85,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4120.0,0.00,2.0,69.0,0,
9.90,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4040.0,0.00,2.0,68.0,0,
9.95,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3960.0,0.00,2.0,67.0,0,
10.00,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3880.0,0.00,2.0,66.0,0,
10.05,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3800.0,0.00,2.0,65.0,0,
10.10,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3720.0,0.00,2.0,64.0,0,
10.15,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3640.0,0.00,2.0,63.0,0,
10.20,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3560.0,0.00,2.0,62.0,0,
10.25,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3480.0,0.00,2.0,61.0,0,
10.30,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3400.0,0.00,2.0,60.0,0,
10.35,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3320.0,0.00,2.0,59.0,0,
10.40,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3240.0,0.00,2.0,58.0,0,
10.45,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3160.0,0.00,2.0,57.0,0,
10.50,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3080.0,0.00,2.0,56.0,0,
10.55,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3000.0,0.00,2.0,55.0,0,
